"table_name","key_column","src_id","trg_id","reconciliation_status"
"s1_channels","channel_id","151","151","Mismatch in channel_location"
"s1_channels","channel_id","152","152","Mismatch in channel_location"
"s1_channels","channel_id","153","153","Mismatch in channel_location"
"s1_channels","channel_id","154","154","Mismatch in channel_location"
"s1_channels","channel_id","155","155","Mismatch in channel_name"
"s1_channels","channel_id","156","156","Mismatch in channel_location"
"s1_channels","channel_id","157",NULL,"Only in source"
"s1_channels","channel_id","158",NULL,"Only in source"
"s1_clients","client_id","699","699","Mismatch in last_name"
"s1_clients","client_id","700","700","Mismatch in phone"
"s1_products","product_id",NULL,"50","Only in target"
"s1_sales","client_id + product_id + purchase_date","608_24_07-JUN-05","608_24_07-JUN-05","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","345_34_11-APR-06","345_34_11-APR-06","Mismatch in channel_id"
"s1_sales","client_id + product_id + purchase_date","389_32_10-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","378_23_20-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","635_19_24-AUG-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","159_7_11-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","670_47_22-NOV-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","520_50_01-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","460_46_07-FEB-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","532_4_27-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","125_31_25-AUG-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","616_11_29-JUN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","555_13_30-APR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","321_32_29-APR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","463_5_08-AUG-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","247_44_07-APR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","594_9_25-FEB-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","312_6_24-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","524_30_15-APR-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","8_28_19-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","366_4_28-NOV-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","604_6_07-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","446_23_09-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","353_5_08-AUG-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","570_16_11-FEB-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","518_44_22-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","546_33_31-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","409_26_08-JAN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","566_35_20-APR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","637_38_13-JAN-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","342_8_09-NOV-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","6_30_16-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","298_25_27-JUN-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","661_42_12-MAY-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","176_10_17-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","205_47_29-DEC-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","595_16_24-SEP-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","182_14_04-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","329_18_10-OCT-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","187_3_08-DEC-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","206_15_24-MAR-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","202_14_06-OCT-06",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","484_37_25-JUL-05",NULL,"Only in source"
"s1_sales","client_id + product_id + purchase_date","389_6_19-DEC-05",NULL,"Only in source"
